family,n,n_graphs,ratio_pulser_mean,ratio_pulser_min,ratio_pulser_max,ratio_product_mean,ratio_product_min,ratio_product_max,ratio_hybrid_mean,ratio_hybrid_min,ratio_hybrid_max,mapping_error_mean,mapping_error_max,ratio_proxy_exact_mean,rounding_win_count,pulser_win_count
path,4,20,0.37636709067025004,0.08260214562179093,0.5854689550148594,0.5427318558816975,0.4055441242451023,0.6177318206771039,0.5427318558816975,0.4055441242451023,0.6177318206771039,1.4203335813912725e-05,2.8278258509892135e-05,0.9004344614009613,20,0
path,4,50,0.37009159833409755,0.08260214562179093,0.612847741225838,0.5471443162125496,0.3908601029072953,0.626870708808368,0.5471443162125496,0.3908601029072953,0.626870708808368,1.3728813490764824e-05,3.8790064664516187e-05,0.8956752762257443,50,0
path,4,100,0.369354356183571,0.061566686274536694,0.612847741225838,0.5511156627203815,0.3908601029072953,0.6403710045788265,0.5513134813057277,0.3908601029072953,0.6403710045788265,1.4273079563224844e-05,7.640871587141472e-05,0.8991375027663441,99,1
path,4,150,0.3697330943871025,0.061566686274536694,0.6128478114915236,0.5528532011072703,0.3908601029072953,0.6403710045788265,0.5533679151216311,0.3908601029072953,0.6403710045788265,1.4177066074548793e-05,7.640871587141472e-05,0.8980598998984959,147,3
cycle,4,20,0.48058018306080774,0.2477936946517843,0.6633626459536947,0.5853395486554132,0.4753052889258753,0.6461387816686155,0.5875926286127803,0.4753052889258753,0.6633626459536947,1.6854862229999965e-05,3.643966376375682e-05,0.9889572739564937,17,3
cycle,4,50,0.48281823961970405,0.1755774093137247,0.6633626459536947,0.5901929430415286,0.4753052889258753,0.6489844255764734,0.5914305163843742,0.4753052889258753,0.6633626459536947,1.854790852659497e-05,8.112477240450885e-05,0.9365205939695959,46,4
cycle,4,100,0.4691298232605207,0.14697847117832488,0.6633626459536947,0.585559866153907,0.4460859235786961,0.6489844255764734,0.5871413983615817,0.4460859235786961,0.6633626459536947,1.8453118921973256e-05,9.524508623720123e-05,0.9434831440500793,91,9
cycle,4,150,0.4570819920746745,0.05720246798002073,0.6647863061390326,0.5817264639766675,0.4460859235786961,0.650362455952418,0.5834300605347833,0.4460859235786961,0.6647863061390326,1.8277918900802757e-05,0.00011504910907899603,0.9410925479039512,138,12
star,4,20,0.4004900935999657,0.024404151717720323,0.7256279574429623,0.637771963475014,0.5301405652861368,0.7253900816139733,0.6380086398436662,0.5301405652861368,0.7256279574429623,1.6934347874465404e-05,0.00010991663580925955,0.8948620489506837,19,1
star,4,50,0.40787231562930143,0.024404151717720323,0.7704225000480174,0.6454391701337083,0.4957551931888903,0.7253900816139733,0.648311138151648,0.4957551931888903,0.7704225000480174,1.4742870514924707e-05,0.00010991663580925955,0.9105689243061693,47,3
star,4,100,0.4174328021906607,0.024404151717720323,0.7704225000480174,0.6457387867114908,0.4957551931888903,0.7253900816139733,0.6484783657115583,0.4957551931888903,0.7704225000480174,1.3728873883763853e-05,0.00010991663580925955,0.9014036967490405,93,7
star,4,150,0.4351712621661953,0.024404151717720323,0.7704225000480174,0.6463276923957016,0.4957551931888903,0.7289109391209122,0.6486795772691896,0.4957551931888903,0.7704225000480174,1.375648857299808e-05,0.00010991663580925955,0.9006667334684842,141,9
